System PWS ID,System Name,Source Water Type,Population,Sample Date,County,PFOS_ng_L,PFOA_ng_L,GenX_ng_L,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L,year
NC0347102,401 MOBILE HOME PARK,Groundwater,75.0,8/15/2023,HOKE,ND,ND,ND,ND,ND,ND,2023
NC1045041,ACONY BELL COMMUNITY,Groundwater,150.0,9/13/2023,HENDERSON,ND,ND,ND,ND,ND,ND,2023
NC0392101,ACRES OF SPACE MHP,Groundwater,332.0,5/11/2023,WAKE,17.7,13.6,ND,6.23,ND,6.8,2023
NC0351120,ADAMS MHP,Groundwater,80.0,8/16/2023,JOHNSTON,ND,0.938,ND,0.973,ND,0.881,2023
NC1011038,ALL GOD'S CHILDREN CEC,Groundwater,50.0,8/1/2023,BUNCOMBE,ND,ND,ND,0.92,ND,0.732,2023
NC0136103,ALLEN MHP LLC,Groundwater,64.0,9/12/2023,GASTON,2.91,3.13,ND,1.1,ND,2.25,2023
NC0188444,ANCHOR BAPTIST,Groundwater,300.0,8/17/2023,TRANSYLVANIA,ND,ND,ND,1.07,ND,ND,2023
NC0368108,ARBOR HILL MHP,Groundwater,85.0,5/4/2023,ORANGE,22.1,10.4,ND,3.47,ND,5.2,2023
NC0136252,ARCHDALE/TRYON MHP,Groundwater,74.0,8/22/2023,GASTON,ND,0.834,ND,ND,ND,0.701,2023
NC0160515,ARLINGTON BAPTIST CHURCH INC,Groundwater,350.0,10/12/2023,MECKLENBURG,2.73,0.871,ND,1.82,ND,1.49,2023
NC4092184,ARLINGTON S/D,Groundwater,46.0,5/16/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0100459,ARTHUR MORGAN SCHOOL,Groundwater,42.0,8/30/2023,YANCEY,ND,ND,ND,ND,ND,ND,2023
NC3041103,ASHCROFT PARK,Groundwater,175.0,8/28/2023,GUILFORD,ND,ND,ND,ND,ND,ND,2023
NC3076008,ASHEBORO COUNTRY CLUB ESTATES,Groundwater,26.0,9/26/2023,RANDOLPH,ND,ND,ND,ND,ND,ND,2023
NC1011002,ASHEVILLE ACADEMY FOR GIRLS,Groundwater,75.0,8/1/2023,BUNCOMBE,ND,ND,ND,ND,ND,ND,2023
NC1011034,ASHEVILLE ACADEMY FOR GIRLS- CABINS,Groundwater,75.0,8/1/2023,BUNCOMBE,ND,ND,ND,ND,ND,ND,2023
NC0416160,ATLANTIC MHP,Groundwater,113.0,8/2/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC0416166,ATLANTIC MHP II,Groundwater,106.0,8/2/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC0416192,ATLANTIC VILLAGE MHP,Groundwater,175.0,8/1/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC0241103,AUTUMN FOREST MHP,Groundwater,665.0,8/24/2023,GUILFORD,ND,ND,ND,ND,ND,ND,2023
NC3041109,AUTUMN RIDGE S/D,Groundwater,56.0,8/28/2023,GUILFORD,0.98,0.825,ND,ND,ND,0.681,2023
NC4092165,AVALYN S/D,Groundwater,58.0,5/25/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0136286,AZALEA HILLS MHP,Groundwater,80.0,8/2/2023,GASTON,10.8,20.7,ND,31.3,1.72,62.9,2023
NC6027009,BACKWOODS-SADDLEBROOK COMM WS,Groundwater,122.0,11/15/2023,CURRITUCK,ND,ND,ND,ND,ND,ND,2023
NC4035019,BAILEY FARMS SUBDIVISION,Groundwater,181.0,5/18/2023,FRANKLIN,ND,ND,ND,ND,ND,ND,2023
NC4092160,BAILEY`S AT GLENMOOR S/D,Groundwater,59.0,5/25/2023,WAKE,ND,1.33,ND,3.26,ND,ND,2023
NC0100474,BALD CREEK CHILD DEVELOPMENT,Groundwater,25.0,8/30/2023,YANCEY,1.21,0.754,ND,ND,ND,ND,2023
NC0416101,BALLOU MHP,Groundwater,95.0,8/2/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC0150102,BALLOUGH HILLS,Groundwater,102.0,7/27/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0180501,BARGER PARK,Groundwater,58.0,8/14/2023,ROWAN,ND,1.07,ND,ND,ND,0.813,2023
NC0464101,BASS MH COURT,Groundwater,97.0,5/30/2023,NASH,ND,ND,ND,ND,ND,ND,2023
NC0392218,BAYWOOD FOREST S/D,Groundwater,533.0,5/11/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0156129,BEAR DEN ACRES,Groundwater,140.0,9/26/2023,MCDOWELL,ND,ND,ND,ND,ND,ND,2023
NC1050057,BEAR LAKE RESERVE 1B,Groundwater,396.0,10/31/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC1050034,BEAR LAKE RESERVE GOLDEN FARMS,Groundwater,117.0,10/31/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0145178,BEAR WALLOW VALLEY MHP,Groundwater,124.0,8/30/2023,HENDERSON,ND,ND,ND,0.886,ND,ND,2023
